States,Market,Type,Link
AK,"Anchorage, AK",Code Violation,https://www.muni.org/Departments/OCPD/development-services/permits-inspections/pages/default.aspx
AL,"Jefferson County, AL",Code Violation,https://permits.jccal.org/CitizenAccess/Cap/CapApplyDisclaimer.aspx?module=Enforcement&TabName=Enforcement&TabList=Home%7C0%7CESDPermits%7C1%7CBuilding%7C2%7CPlanning%7C3%7CLicenses%7C4%7CEnforcement%7C5%7CCurrentTabIndex%7C5
AR,"Little Rock, AR",Foreclosures,https://pulaskiclerkar.gov/news-events/auction-notices/
AZ,"Mesa, AZ",Code Violation,https://data.mesaaz.gov/
AZ,"Maricopa County, AZ",Probates,https://www.superiorcourt.maricopa.gov/docket/calendar/
AZ,"Pinal County, AZ","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://acclaim.pinalcountyaz.gov/AcclaimWeb/Search/Disclaimer?st=/AcclaimWeb/search/SearchTypeDocType
AZ,"Glendale, AZ",Code Violation,https://hub.arcgis.com/maps/8026de93be8147d2aa2941c3e7ceed97
AZ,"Pima County, AZ","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://pimacountyaz-web.tylerhost.net/web/search/DOCSEARCH55S8
CA,"Los Angeles, CA",Code Violation,https://data.lacity.org/City-Infrastructure-Service-Requests/Building-and-Safety-Code-Enforcement-Case/2uz8-3tj3
CA,"San Diego, CA",Code Violation,https://www.sandiego.gov/development-services
CA,"Chula Vista, CA",Fire Damaged Properties,https://permits.chulavistaca.gov/CitizenAccess/Cap/CapHome.aspx?module=Fire&TabName=Fire
CA,"Fresno, CA",Code Violation,https://aca-prod.accela.com/FRESNO/Login.aspx?ReturnUrl=%2fFRESNO%2fCap%2fCapHome.aspx%3fmodule%3dEnforcement%26TabName%3dEnforcement%26TabList%3dHome%257C0%257CBuilding%257C1%257CDPUDPW%257C2%257CPlanning%257C3%257CEnforcement%257C4%257CCannabis%257C5%257CFire%257C6%257CParks%257C7%257CCurrentTabIndex%257C4
CA,"Fresno County, CA",Fire Damaged Properties,https://aca-prod.accela.com/FRESNO/Login.aspx?ReturnUrl=%2fFRESNO%2fCap%2fCapHome.aspx%3fmodule%3dFire%26TabName%3dFire%26TabList%3dHome%257C0%257CBuilding%257C1%257CDPUDPW%257C2%257CPlanning%257C3%257CEnforcement%257C4%257CCannabis%257C5%257CFire%257C6%257CParks%257C7%257CCurrentTabIndex%257C6
CA,"San Bernardino County, CA",Code Violation,https://ezop.sbcounty.gov/CitizenAccess/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement&TabList=Home%7C0%7CPlanning%7C1%7CFire%7C2%7CBuilding%7C3%7CEnforcement%7C4%7CFilm%7C5%7CPublicWorks%7C6%7CCurrentTabIndex%7C4
CA,"San Bernardino, CA",Fire Damaged Properties,https://ezop.sbcounty.gov/CitizenAccess/Cap/CapHome.aspx?module=Fire&TabName=Fire&TabList=Home%7C0%7CPlanning%7C1%7CFire%7C2%7CBuilding%7C3%7CEnforcement%7C4%7CFilm%7C5%7CPublicWorks%7C6%7CCurrentTabIndex%7C2
CA,"Placer County, CA",Code Violation,https://hub.arcgis.com/datasets/ef7447d4efc2439a8a96727509fa57c5_4/explore
CO,"Eagle County, CO","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://acclaim.eaglecounty.us/AcclaimWeb/search/SearchTypeDocType
CT,"Hartford, CT",Code Violation,https://data.hartford.gov/datasets/7cf59bd708a94395be61954d6f430e3f_1/explore
FL,"Miami, FL",Code Violation,https://www.miamidade.gov/Apps/RER/RegulationSupportWebViewer/
FL,"Osceola County, FL",Code Violation,https://permits.osceola.org/CitizenAccess/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement&TabList=Home%7C0%7CBuilding%7C1%7CDevReview%7C2%7CEnforcement%7C3%7CFire%7C4%7CLicenses%7C5%7CPlanning%7C6%7CPublicWorks%7C7%7CZoning%7C8%7CE911%7C9%7CCurrentTabIndex%7C3
FL,"Charlotte County, FL",Code Violation,https://aca-prod.accela.com/BOCC/Cap/CapHome.aspx?module=CodeEnforcement&TabName=CodeEnforcement
FL,"Cape Coral, FL",Code Violation,https://energovweb.capecoral.gov/EnerGovProd/selfservice#/home
FL,"Brevard County, FL",Code Violation,https://acaweb.brevardcounty.us/citizenaccess/
FL,"Polk County, FL",Code Violation,https://aca-prod.accela.com/POLKCO/Default.aspx
FL,"Tampa, FL",Code Violation,https://aca-prod.accela.com/HCFL/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement
FL,"Palm Beach County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://erec.mypalmbeachclerk.com/search/index?theme=.blue&section=searchCriteriaDocuments&quickSearchSelection=
FL,"Indian River County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://ori.indian-river.org/search/index?theme=.blue&section=searchCriteriaDocuments&quickSearchSelection=
FL,"Hendry County, FL",Liens,https://www.myfloridacounty.com/orisearch/26
FL,"Highlands County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://acclaim.hcclerk.org/search/SearchTypeDocType
FL,"Duval County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://oncore.duvalclerk.com/
FL,"Santa Rosa County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://acclaim.srccol.com/AcclaimWeb/
FL,"Broward County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://officialrecords.broward.org/AcclaimWeb/
FL,"Martin County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://or.martinclerk.com/LandmarkWeb/search/index?theme=.blue&section=searchCriteriaDocuments&quickSearchSelection=
FL,"Volusia County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://ccms.clerk.org/inquiry.aspx
FL,"Seminole County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://courtrecords.seminoleclerk.org/civil/
FL,"Bay County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://records2.baycoclerk.com/Recording/search/index?theme=.blue&section=searchCriteriaDocuments&quickSearchSelection=
FL,"Alachua County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://isol.alachuaclerk.org/RealEstate/SearchResults.aspx
GA,"Johns Creek, GA",Code Violation,https://datahub.johnscreekga.gov/search?q=code
GA,"Atlanta, GA",Code Violation,https://aca-prod.accela.com/ATLANTA_GA/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement
GA,"Cobb County, GA",Code Violation,https://cobbca.cobbcounty.org/CitizenAccess/Default.aspx
GA,"Augusta, GA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://cityofaugustaga.nextrequest.com/
ID,"Boise, ID",Code Violation,https://permits.cityofboise.org/CitizenAccess/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement
IL,"Chicago, IL",Code Violation,https://www.chicago.gov/city/en/depts/bldgs/provdrs/inspect/svcs/building_violationsonline.html
IN,"Indianapolis, IN",Code Violation,https://aca-prod.accela.com/INDY/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement
IN,"South Bend, IN",Code Violation,https://hub.arcgis.com/datasets/ff1172d09ae94928b1e3b9c47d3eec8f_50/explore?location=41.672229%2C-86.259027%2C13.30
KS,Kansas,"Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://prodportal.kscourts.org/prodportal
KY,"Louisville, KY",Code Violation,https://data.louisvilleky.gov/
LA,"New Orleans, LA",Code Violation,https://data.nola.gov/Housing-Land-Use-and-Blight/Code-Enforcement-All-Violations/3ehi-je3s/about_data
MA,"Boston, MA",Code Violation,https://data.boston.gov/dataset/public-works-violations/resource/90ed3816-5e70-443c-803d-9a71f44470be
MA,"Springfield, MA",Probates,https://www.mass.gov/locations/hampden-probate-and-family-court
MD,"Howard County, MD",Code Violation,https://dilp.howardcountymd.gov/CitizenAccess/Login.aspx?ReturnUrl=%2fCitizenAccess%2fCap%2fCapHome.aspx%3fmodule%3dEnforcement%26TabName%3dEnforcement%26TabList%3dHOME%257C0%257CBuilding%257C1%257CFire%257C2%257CLicenses%257C3%257CEnforcement%257C4%257CCurrentTabIndex%257C4
MD,"Montgomery County, MD",Code Violation,https://catalog.data.gov/dataset/housing-code-violations
MI,"Grand Rapids, MI",Code Violation,https://inspections.grcity.us/CitizenAccess/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement&TabList=Home%7C0%7CPermits%7C1%7CRegistration%7C2%7CPlanning%7C3%7CEconomic%7C4%7CEnforcement%7C5%7CGrants%7C6%7CBusiness%7C7%7CCurrentTabIndex%7C5
MI,"Wayne County, MI","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://cmspublic.3rdcc.org/default.aspx
MO,"Kansas City, MO",Code Violation,https://data.kcmo.org/Neighborhoods/Property-Violations-from-EnerGov/vq3e-m9ge/about_data
MO,"Springfield, MO",Code Violation,https://ecity.springfieldmo.gov/lookup-record
NC,"Harrisburg, NC",Code Violation,https://citizenaccess.cabarruscounty.us/CitizenAccess/Cap/CapHome.aspx?module=Enforcement&TabName=ENFORCEMENT&TabList=HOME%7C0%7CPLANNING%7C1%7CPERMITS%7C2%7CENFORCEMENT%7C3%7CCOC_Planning%7C4%7CHB_Permits%7C5%7CCurrentTabIndex%7C3
NC,"Greensboro, NC",Code Violation,https://hub.arcgis.com/datasets/eb7330c8600540d6972b7e094565baff_3/explore
NC,"Fayettville, NC",Code Violation,https://data.fayettevillenc.gov/datasets/7f54119874a341379735f56db9e04ec3_0/explore?location=36.342921%2C-98.419400%2C6.33&showTable=true
NC,"Wake County, NC",Code Violation,https://data-wake.opendata.arcgis.com/datasets/code-cases-past-90-days/explore
NE,Nebraska,Tax Delinquency,https://revenue.nebraska.gov/PAD/real-property/nebraska-delinquent-real-property-list
NJ,"Somerset County, NJ","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://liveacclaim.co.somerset.nj.us/AcclaimWeb/
NJ,"Bergen County, NJ","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://bclrs.co.bergen.nj.us/browserview/
NM,"Bernalillo County, NM",Code Violation,https://aca-prod.accela.com/BERNCO/Cap/CapHome.aspx?module=Building&globalsearch=true
NV,"Las Vegas, NV",Code Violation,http://us-city.census.okfn.org/dataset/code-enforcement.html
NY,"New York City, NY",Code Violation,https://data.cityofnewyork.us/City-Government/OATH-Hearings-Division-Case-Status/jz4z-kudi
NY,"Syracuse, NY",Code Violation,https://hub.arcgis.com/datasets/107745f070b049feb38273a7ab200487_0/explore
NY,"Albany, NY","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.searchiqs.com/nyalb/SearchAdvancedMP.aspx
NY,"Buffalo, NY",Code Violation,https://data.buffalony.gov/browse?tags=housing+violation
OH,"Columbus, OH",Code Violation,https://portal.columbus.gov/Permits/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement
OH,"Toldeo, OH",Probates,https://eaccess.lucas-co-probate-ct.org/eservices/search.page.3?x=c4HCtvTeCzIPcV0ctdV2hg
OH,"Putnam County, OH","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://acclaim.putnamcountyrecorder.com/AcclaimWeb/Search/Disclaimer?st=/AcclaimWeb/search/SearchTypeDocType
OH,"Montgomery County, Ohio","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://pro.mcohio.org/
OH,"Summit County, OH","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://search.summitohioprobate.com/eservices/search.page.3?x=ObKZ2TBdhbHUk6Zlw6p07w
OK,"Oklahoma City, OK",Fire Damaged Properties,https://access.okc.gov/aca/Cap/CapHome.aspx?module=Fire&TabName=Fire
OR,"Portland, OR",Code Violation,https://www.portland.gov/ppd/code-enforcement/open-code-enforcement-cases
PA,"Philadelphia, PA",Code Violation,https://opendataphilly.org/datasets/?category=real-estate-land-records
PA,"Pittsburgh, PA",Code Violation,https://data.wprdc.org/dataset/pittsburgh-pli-violations-report
PA,"Allengheny County, PA",Liens,https://catalog.data.gov/dataset/allegheny-county-tax-liens-filings-satisfactions-and-current-status
PA,Pennsylvania,"Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://ujsportal.pacourts.us/CaseSearch
RI,"Providence, RI",Code Violation,https://www.providenceri.gov/inspection/search-rhode-island-lead-property-violation-and-license-records/
SC,"Horry County, SC","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://acclaimweb.horrycounty.org/acclaimweb
SC,"Clarendon County, SC","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://acclaimprod.clarendoncountygov.org/acclaimweb
SC,"Charleston County, SC","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://jcmsweb.charlestoncounty.org/PublicIndex/PISearch.aspx
SC,"Richland County, SC","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://publicindex.sccourts.org/Richland/PublicIndex/PISearch.aspx
SC,"Greenville, SC","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www2.greenvillecounty.org/SCJD/PublicIndex/PISearch.aspx
TN,"Chattanooga, TN",Code Violation,https://data.chattlibrary.org/login
TN,"Nashville, TN",Code Violation,https://datanashvillegov-nashville.hub.arcgis.com/datasets/038de0cf3d35435c8c563b731265c036_0/explore?location=36.196825%2C-86.774164%2C11.34
TX,"Fort Worth, TX",Code Violation,https://data.fortworthtexas.gov/Property-Data/Code-Violations/spnu-bq4u/about_data
TX,"Austin, TX",Code Violation,https://data.austintexas.gov/Public-Safety/Austin-Code-Complaint-Cases/6wtj-zbtb
TX,"San Antonio, TX",Code Violation,https://aca.sanantonio.gov/CitizenAccess/Cap/CapHome.aspx?module=Code&TabName=Code&TabList=Home%7C0%7CLandDevelopment%7C1%7CBuilding%7C2%7CProfile%7C3%7CFire%7C4%7CCode%7C5%7CCurrentTabIndex%7C5
TX,"Harris County, TX",Probates,https://www.cclerk.hctx.net/applications/websearch/CourtSearch.aspx?CaseType=Probate
TX,"Fort Bend County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://tylerpaw.fortbendcountytx.gov/PublicAccess/Search.aspx?ID=200
TX,"McAllen, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://pa.co.hidalgo.tx.us/Search.aspx?ID=900
VA,"Virginia Beach, VA",Code Violation,https://gis.data.vbgov.com/datasets/a47f8ef0dd894d07a6e5f6af3e1ee351_0/about
VA,"Fairfax County, VA",Code Violation,https://plus.fairfaxcounty.gov/CitizenAccess/Cap/CapHome.aspx?module=Enforcement&TabName=Enforcement&TabList=Home%7C0%7CBuilding%7C1%7CEnforcement%7C2%7CEnvHealth%7C3%7CFire%7C4%7CPlanning%7C5%7CSite%7C6%7CZoning%7C7%7CProffer%7C8%7CCurrentTabIndex%7C2
VA,"Fairfax, VA",Fire Damaged Properties,https://plus.fairfaxcounty.gov/CitizenAccess/Cap/CapHome.aspx?module=Fire&TabName=Fire&TabList=Home%7C0%7CBuilding%7C1%7CEnforcement%7C2%7CEnvHealth%7C3%7CFire%7C4%7CPlanning%7C5%7CSite%7C6%7CZoning%7C7%7CProffer%7C8%7CCurrentTabIndex%7C4
VA,"Norfolk,VA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://data.norfolk.gov/browse?federation_filter=1370&limitTo=datasets&sortBy=most_accessed&utf8=%E2%9C%93&page=1&pageSize=20
VA,"Richmond, VA",Tax Delinquency,https://data.richmondgov.com/Well-Managed-Government/Delinquent-Real-Estate-Taxes-Six-Months-or-More-/83t5-hbac/about_data
WA,"Seattle, WA",Code Violation,https://data.seattle.gov/Built-Environment/Code-Complaints-and-Violations/ez4a-iug7/about_data
WI,"Milwaukee, WI",Tax Delinquency,https://city.milwaukee.gov/treasurer/DelinquentTaxAccount11810
FL,"Hillsborough County, FL","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://publicaccess.hillsclerk.com/oripublicaccess/
TX,"San Antonio, TX",Foreclosures,https://bexar.tx.publicsearch.us/
MD,Maryland,Probates,https://registers.maryland.gov/RowNetWeb/Estates/frmEstateSearch2.aspx
OH,"Franklin County, OH",Probates,https://probate.franklincountyohio.gov/record-search/general-case-index
MA,Massachusetts,"Probates, Pre-Foreclosures, Etc.",https://www.masscourts.org/eservices/search.page.3?x=6zmoJNkDF8pfCqgdDc83eg
WI,WISCONSIN,All Court Records,https://wcca.wicourts.gov/courtOfficialCalendar.html
TX,"Tarrant County, TX",Probates,https://portal-txtarrant.tylertech.cloud/PublicAccess/default.aspx
TX,"Tarrant County, TX",Court Records,https://portal-txtarrant.tylertech.cloud/PublicAccess/default.aspx
IA,"Des Moines, IA",Court Records,https://landrecords.polkcountyiowa.gov/LandRecords/protected/SrchDateRange.aspx
,,,
,,,
,,,
,,,
,,,
,,,
,,,
IMPORT DATA & SKIPTRACE IT ALL IN XLEADS.COM for $81/mo,,,